Papel,Cotação,P/L,P/VP,PSR,Div.Yield,P/Ativo,P/Cap.Giro,P/EBIT,P/Ativ Circ.Liq,EV/EBIT,EV/EBITDA,Mrg Ebit,Mrg. Líq.,Liq. Corr.,ROIC,ROE,Liq.2meses,Patrim. Líq,Dív.Brut/ Patrim.,Cresc. Rec.5a
VNET3,0,0,0,0,"0,00%",0,0,0,0,0,0,"0,00%","0,00%",0,"0,00%","12,99%",0,9257250000,0,"-2,71%"
CFLU4,1000,0,0,0,"0,00%",0,0,0,0,0,0,"8,88%","10,72%",1.1,"17,68%","32,15%",0,60351000,0.06,"8,14%"
CLAN3,0,0,0,0,"0,00%",0,0,0,0,0,0,"0,00%","0,00%",0,"0,00%","-1,05%",0,1012240000,0,"-63,96%"
CLSC6,0,0,0,0,"0,00%",0,0,0,0,0,0,"0,00%","0,00%",0,"0,00%","22,88%",0,1551160000,0,"6,66%"
CSTB3,150,0,0,0,"0,00%",0,0,0,0,0,0,"40,85%","28,98%",2.6,"22,40%","20,11%",0,8420670000,0.14,"31,91%"
CSTB4,147.69,0,0,0,"0,00%",0,0,0,0,0,0,"40,85%","28,98%",2.6,"22,40%","20,11%",0,8420670000,0.14,"31,91%"
IVTT3,0,0,0,0,"0,00%",0,0,0,0,0,0,"0,00%","0,00%",0,"0,00%","-0,40%",0,1083050000,0,"20,67%"
MNSA3,0.42,0,0,0,"0,00%",0,0,0,0,0,0,"-208,15%","-362,66%",3.63,"-13,50%","145,70%",0,-9105000,-6.52,"-41,11%"
MNSA4,0.47,0,0,0,"0,00%",0,0,0,0,0,0,"-208,15%","-362,66%",3.63,"-13,50%","145,70%",0,-9105000,-6.52,"-41,11%"
PMET3,0,0,0,0,"0,00%",0,0,0,0,0,0,"0,00%","0,00%",0,"0,00%","4,10%",0,-290863000,0,"37,74%"
POPR4,10.17,0,0,0,"0,00%",0,0,0,0,0,0,"8,66%","5,65%",1.08,"15,25%","19,93%",0,545803000,0.82,"30,93%"
PORP4,2.4,0,0,0,"0,00%",0,0,0,0,0,0,"0,00%","0,00%",0,"0,00%","-2,08%",0,22399000,0,"13,66%"
NORD3,7.39,-16309.7,-0.35,31.608,"0,00%",2.874,-1.02,-70.2,-0.32,-123.43,-123.43,"-45,03%","-0,19%",0.02,"-4,19%","0,00%",25482,-139342000,-0.27,"116,60%"
OMGE3,34.99,-9727.05,2.15,5.899,"0,00%",0.77,10.11,18.13,-1.52,29.6,18.04,"32,53%","0,48%",2.46,"4,73%","-0,02%",24224300,2762890000,1.62,"70,27%"
DASA3,66,-1628.12,7.9,6.618,"0,56%",2.738,35.18,123.33,-7.12,134.68,44.48,"5,37%","-0,32%",1.41,"2,57%","-0,49%",5835.26,4018650000,0.98,"13,56%"
IDVL11,140,-1062.5,31.61,0,"0,00%",0,0,0,0,0,0,"0,00%","0,00%",0,"0,00%","-2,98%",0,384430000,0,"0,00%"
