Date,ABEV3.SA,AZUL4.SA,B3SA3.SA,BBAS3.SA,BBDC4.SA,BBSE3.SA,BPAC11.SA,BRAP4.SA,BRDT3.SA,BRFS3.SA,BRKM5.SA,BRML3.SA,BTOW3.SA,CCRO3.SA,CIEL3.SA,CMIG4.SA,COGN3.SA,CRFB3.SA,CSAN3.SA,CSNA3.SA,CVCB3.SA,CYRE3.SA,ECOR3.SA,EGIE3.SA,ELET6.SA,EMBR3.SA,ENBR3.SA,EQTL3.SA,FLRY3.SA,GGBR4.SA,GNDI3.SA,GOAU4.SA,GOLL4.SA,HAPV3.SA,HGTX3.SA,HYPE3.SA,IGTA3.SA,IRBR3.SA,ITSA4.SA,ITUB4.SA,JBSS3.SA,KLBN11.SA,LAME4.SA,LREN3.SA,MGLU3.SA,MRFG3.SA,MRVE3.SA,MULT3.SA,NTCO3.SA,PCAR4.SA,PETR4.SA,QUAL3.SA,RADL3.SA,RAIL3.SA,RENT3.SA,SANB11.SA,SBSP3.SA,SMLS3.SA,SULA11.SA,SUZB3.SA,TAEE11.SA,TIMP3.SA,TOTS3.SA,UGPA3.SA,USIM5.SA,VALE3.SA,VIVT4.SA,VVAR3.SA,WEGE3.SA,YDUQ3.SA
2015-06-26 00:00:00,16.68,,9.87,19.18,12.27,23.31,,8.85,,65.16,10.43,9.04,20.33,12.10,23.20,8.66,10.84,,21.19,4.64,16.76,8.17,6.74,17.93,7.21,23.18,8.74,5.49,6.82,7.16,,6.32,7.75,,6.66,19.77,22.93,,5.25,14.66,14.85,15.84,13.69,17.27,0.30,5.61,5.53,13.64,,74.18,12.26,13.72,37.70,9.38,7.89,12.46,14.32,29.73,10.91,18.94,13.31,9.62,37.62,27.85,4.22,17.14,31.70,6.96,13.28,14.08
2015-06-29 00:00:00,16.52,,9.71,18.63,11.94,23.26,,8.59,,63.43,10.21,8.90,19.73,11.90,22.90,8.63,10.39,,20.56,4.42,16.57,8.08,6.53,17.80,7.16,22.56,8.80,5.48,6.88,7.25,,6.25,7.35,,,19.73,22.74,,5.18,14.47,14.77,15.80,13.50,17.11,0.30,5.70,5.32,13.43,,72.95,11.92,13.62,36.41,9.38,7.85,12.20,13.99,29.43,11.02,,13.03,9.26,37.20,27.69,4.19,16.77,30.50,6.84,13.11,13.40
2015-06-30 00:00:00,16.55,,9.86,19.01,11.98,22.75,,8.23,,63.41,10.34,8.92,19.69,11.72,23.92,8.67,10.65,,20.50,4.31,17.26,8.10,6.69,17.90,7.06,22.90,8.76,5.49,6.90,6.97,,5.94,7.37,,,19.68,22.83,,5.20,14.48,15.14,15.88,13.83,16.99,0.30,5.70,5.39,13.54,,70.63,11.77,13.91,38.64,9.38,7.77,12.36,14.43,30.24,11.42,,12.69,9.23,36.73,27.69,4.00,15.98,30.87,6.84,13.14,14.06
2015-07-01 00:00:00,16.67,,9.79,18.77,11.94,22.92,,8.05,,62.08,9.86,8.92,19.00,11.89,24.37,8.43,10.60,,20.23,4.20,17.12,8.13,6.67,17.93,6.94,22.82,8.74,5.65,6.95,6.70,,5.63,7.12,,,19.49,23.70,,5.19,14.56,14.80,15.55,14.22,17.38,0.29,5.66,5.30,14.40,,71.65,11.28,14.44,39.24,9.60,8.07,12.27,14.20,30.18,11.57,,13.00,9.10,36.73,27.42,3.97,15.82,31.50,,13.47,13.87
2015-07-02 00:00:00,16.59,,9.76,18.71,12.19,23.03,,8.03,,63.60,9.76,8.91,19.21,12.00,24.49,8.60,10.57,,19.64,4.11,16.99,8.12,6.68,18.03,7.07,22.60,8.77,5.67,7.01,6.41,,5.44,6.89,,,19.18,22.92,,5.27,14.76,15.04,15.76,14.31,17.70,0.28,5.47,5.39,13.91,,69.98,11.46,14.95,40.08,9.90,7.87,12.36,14.49,30.24,11.27,,12.97,9.36,36.98,27.75,3.99,15.79,31.75,,13.53,13.94
2015-07-03 00:00:00,16.69,,9.67,18.53,12.05,22.71,,7.87,,63.72,9.44,8.76,18.97,12.01,24.43,8.48,10.55,,19.39,3.95,17.58,8.03,6.57,18.11,7.04,22.50,8.76,5.70,7.00,6.19,,5.23,6.69,,,18.85,22.93,,5.19,14.61,14.81,15.89,14.20,17.74,0.27,5.30,5.36,13.84,,68.44,10.91,15.09,41.00,9.82,7.79,12.19,14.17,30.22,11.58,,13.01,9.22,36.74,27.55,3.91,15.45,31.43,7.66,13.71,13.85
2015-07-06 00:00:00,16.75,,9.75,18.67,11.81,22.69,,7.78,,63.85,9.74,8.82,20.08,11.89,24.36,8.43,10.47,,18.74,4.05,17.17,7.96,6.46,18.22,7.25,22.65,8.86,5.70,6.91,6.37,,5.27,6.51,,,18.56,23.12,,5.14,14.36,14.85,15.73,14.23,17.55,0.27,5.48,5.38,13.64,,68.38,10.68,15.88,40.73,9.67,7.84,12.29,14.42,30.59,11.82,,13.26,9.32,36.40,27.78,4.05,15.42,31.71,7.66,13.70,13.75
2015-07-07 00:00:00,16.83,,9.92,18.33,11.71,22.60,,7.87,,67.19,9.75,8.81,20.61,11.94,24.27,8.15,10.07,,18.59,4.09,16.99,7.91,6.32,18.37,7.04,22.66,9.07,5.73,6.93,6.55,,5.15,6.23,,,18.85,23.33,,5.11,14.41,14.85,15.65,14.27,17.21,0.26,5.37,5.30,13.87,,66.64,10.92,15.31,42.28,9.38,7.71,12.44,14.74,31.16,11.35,,13.34,9.22,36.14,27.77,4.04,15.66,31.59,,13.83,13.47
2015-07-08 00:00:00,16.64,,9.78,18.13,11.53,22.14,,7.52,,67.71,9.98,8.81,21.45,11.95,23.87,8.01,10.11,,18.48,3.87,16.78,7.80,6.44,18.63,6.97,23.22,8.86,5.71,6.87,6.36,,4.99,6.20,,,18.41,23.38,,5.11,14.25,14.67,15.74,14.09,16.96,0.25,5.54,5.46,13.51,,64.05,10.63,15.31,40.21,9.08,7.72,12.04,14.96,30.70,11.23,,13.21,8.82,35.31,27.37,3.91,14.99,31.18,,13.67,13.71
2015-07-10 00:00:00,16.93,,9.96,18.60,12.02,22.50,,7.62,,67.38,10.10,8.87,20.58,12.21,24.09,8.18,10.48,,19.09,3.75,17.08,7.80,6.30,18.90,7.11,22.88,8.86,5.75,6.87,6.27,,4.69,6.05,,,18.30,23.96,,5.24,14.68,14.72,16.27,14.51,17.39,0.26,5.57,5.44,13.93,,66.83,10.96,15.52,39.60,9.16,7.69,12.29,14.69,31.39,11.45,,13.09,8.63,35.35,28.10,3.98,14.95,30.65,,13.54,14.29
2015-07-13 00:00:00,17.03,,10.00,18.71,12.23,22.70,,8.05,,67.51,9.80,8.70,19.50,12.03,23.70,8.13,10.60,,19.22,4.02,17.45,7.76,6.20,19.18,7.20,22.94,9.07,5.74,6.82,6.55,,4.89,6.98,,,18.00,24.29,,5.25,14.82,14.72,16.54,14.13,17.39,0.25,5.58,5.46,13.82,,71.11,10.94,15.36,40.04,9.23,7.57,12.56,15.12,31.85,11.80,,13.08,8.91,35.60,28.25,4.20,16.16,30.73,,13.59,14.57
2015-07-14 00:00:00,17.12,,10.17,18.73,12.31,22.60,,7.73,,67.22,9.91,8.81,19.51,12.24,24.15,8.17,10.69,,19.44,3.97,18.23,7.69,6.49,19.42,7.47,23.50,9.25,5.78,6.79,6.06,,4.39,6.94,,,18.38,24.55,,5.25,14.83,14.59,16.58,14.47,17.14,0.25,5.52,5.52,13.73,,70.44,11.12,15.86,40.02,9.16,7.71,12.88,15.58,31.39,11.94,,13.16,8.86,36.03,28.53,4.14,15.57,30.96,,13.66,14.69
2015-07-15 00:00:00,17.21,,10.01,18.73,12.25,22.70,,7.58,,66.83,10.01,8.97,19.42,12.28,24.42,8.11,10.75,,18.84,3.85,18.18,7.74,6.37,19.34,7.37,23.29,9.24,5.83,6.86,6.06,,4.26,7.03,,,18.73,24.32,,5.21,14.57,14.35,16.66,14.54,17.26,0.23,5.56,5.59,13.73,,70.61,10.93,15.61,41.09,9.16,7.71,12.92,15.79,32.04,12.05,,13.06,8.81,35.15,28.83,4.17,14.95,30.98,,13.65,14.78
2015-07-16 00:00:00,17.19,,10.11,18.12,12.19,22.45,,7.69,,67.13,10.02,8.76,19.64,12.37,24.40,7.99,10.47,,18.54,3.81,18.32,7.71,6.30,19.45,7.23,23.27,9.45,5.85,6.91,6.06,,4.37,6.90,,,18.74,24.28,,5.21,14.61,14.67,16.91,14.43,17.24,0.22,5.58,5.64,13.81,,72.17,11.12,15.74,40.88,9.23,7.80,12.66,16.59,33.29,11.93,,13.02,8.43,35.09,28.70,4.03,15.41,31.27,,13.68,14.92
2015-07-17 00:00:00,17.17,,9.90,17.69,12.16,22.11,,7.59,,67.12,9.82,8.62,19.27,12.18,24.75,7.64,10.10,,18.13,3.73,18.13,7.70,6.17,19.11,7.08,23.46,9.36,5.79,6.88,5.82,,4.13,6.63,,,18.52,24.19,,5.13,14.52,14.63,16.65,14.13,17.08,0.22,5.52,5.46,13.82,,71.91,10.59,15.05,40.13,9.01,7.70,12.56,16.21,32.32,11.81,,12.85,8.47,34.69,28.32,3.88,15.25,30.81,,13.57,14.16
2015-07-20 00:00:00,17.20,,9.68,17.25,11.92,21.81,,7.58,,66.83,9.31,8.34,18.92,12.08,24.73,7.61,9.87,,17.77,3.58,18.18,7.57,6.22,18.75,6.97,23.29,9.53,5.80,6.97,5.66,,3.76,6.15,,,18.48,23.30,,5.15,14.44,13.97,16.44,14.66,16.90,0.21,5.35,5.39,13.57,,70.05,10.01,15.39,39.80,8.71,7.55,12.80,16.27,32.28,12.03,,13.26,8.29,34.37,28.20,3.83,15.12,30.67,,13.55,13.79
2015-07-21 00:00:00,17.10,,9.51,17.22,11.77,21.97,,7.52,,67.08,9.36,8.42,18.42,12.38,24.97,7.26,9.52,,17.33,3.37,18.13,7.53,6.16,19.37,7.17,23.32,9.45,5.77,6.91,5.75,,3.66,6.09,,,18.35,23.35,,5.14,14.31,13.80,16.75,14.59,16.77,0.24,5.36,5.41,13.75,,70.39,9.95,15.56,41.47,8.27,7.57,12.19,16.27,32.22,11.80,,13.11,8.44,34.32,28.24,3.72,15.33,30.48,,13.68,13.57
2015-07-22 00:00:00,17.02,,9.40,16.39,11.62,21.53,,7.31,,66.69,9.54,8.27,18.12,12.38,24.95,7.29,9.40,,17.28,3.25,17.62,7.53,6.04,19.33,7.06,23.00,9.78,5.73,6.87,5.44,,3.35,5.88,,,18.51,23.25,,5.06,14.09,13.93,17.06,14.26,16.69,0.26,5.29,5.51,13.28,,68.57,9.61,15.35,41.81,7.68,7.79,12.07,16.61,30.79,11.67,,13.00,8.19,34.17,28.77,3.63,15.11,29.62,,13.76,13.87
